,date,state,cases_import,cases_new,cases_recovered,cases_new_mva_7_days,cases_new_mva_14_days,total_clusters_announced,clusters_announced_mva_7_days,clusters_announced_mva_14_days,icu_covid,icu_covid_mva_7_days,icu_covid_mva_14_days,cases_new_mva_7_days_offset_14_days,cases_new_mva_14_days_offset_14_days,clusters_announced_mva_7_days_offset_14_days,clusters_announced_mva_14_days_offset_14_days,icu_covid_mva_7_days_offset_14_days,icu_covid_mva_14_days_offset_14_days,YearMonth
0,2020-04-21,Johor,0,1,2,9.0,12.0,0.0,0.0,0.0,7.0,7.0,7.0,20.0,22.0,0.0,0.0,9.0,7.0,2020-04
1,2020-04-21,Kedah,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,5.0,4.0,2020-04
2,2020-04-21,Kelantan,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,4.0,4.0,2020-04
3,2020-04-21,Melaka,0,1,10,6.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,1.0,1.0,2020-04
4,2020-04-21,Negeri Sembilan,0,1,0,7.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,4.0,4.0,2020-04
5,2020-04-21,Pahang,0,8,6,7.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,9.0,8.0,0.0,0.0,3.0,3.0,2020-04
6,2020-04-21,Perak,0,0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,10.0,0.0,0.0,6.0,8.0,2020-04
7,2020-04-21,Perlis,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2020-04
8,2020-04-21,Pulau Pinang,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2020-04
9,2020-04-21,Sabah,0,0,1,4.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,5.0,0.0,0.0,3.0,3.0,2020-04
10,2020-04-21,Sarawak,0,22,3,9.0,10.0,0.0,0.0,0.0,6.0,7.0,8.0,20.0,14.0,0.0,0.0,12.0,11.0,2020-04
11,2020-04-21,Selangor,11,11,12,15.0,28.0,1.0,1.0,0.0,15.0,18.0,23.0,42.0,44.0,0.0,0.0,31.0,28.0,2020-04
12,2020-04-21,Terengganu,0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2020-04
13,2020-04-21,W.P. Kuala Lumpur,7,13,16,24.0,26.0,0.0,0.0,0.0,8.0,7.0,7.0,36.0,29.0,0.0,0.0,10.0,10.0,2020-04
14,2020-04-21,W.P. Labuan,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04
15,2020-04-22,Johor,2,3,0,8.0,12.0,1.0,0.0,0.0,6.0,7.0,7.0,19.0,23.0,0.0,0.0,9.0,7.0,2020-04
16,2020-04-22,Kedah,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,5.0,5.0,2020-04
17,2020-04-22,Kelantan,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,4.0,2020-04
18,2020-04-22,Melaka,0,1,2,6.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,5.0,0.0,0.0,2.0,1.0,2020-04
19,2020-04-22,Negeri Sembilan,0,2,32,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,0.0,4.0,4.0,2020-04
20,2020-04-22,Pahang,0,6,3,6.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,9.0,8.0,0.0,0.0,3.0,3.0,2020-04
21,2020-04-22,Perak,0,0,0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,10.0,0.0,0.0,5.0,7.0,2020-04
22,2020-04-22,Perlis,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2020-04
23,2020-04-22,Pulau Pinang,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2020-04
24,2020-04-22,Sabah,0,0,12,3.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,0.0,0.0,2.0,3.0,2020-04
25,2020-04-22,Sarawak,0,19,4,10.0,11.0,0.0,0.0,0.0,5.0,7.0,8.0,19.0,15.0,0.0,0.0,12.0,12.0,2020-04
26,2020-04-22,Selangor,0,1,20,9.0,25.0,1.0,1.0,0.0,15.0,17.0,21.0,44.0,45.0,0.0,0.0,31.0,29.0,2020-04
27,2020-04-22,Terengganu,0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2020-04
28,2020-04-22,W.P. Kuala Lumpur,1,16,25,16.0,24.0,0.0,0.0,0.0,8.0,7.0,7.0,35.0,30.0,0.0,0.0,10.0,10.0,2020-04
29,2020-04-22,W.P. Labuan,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2020-04
